prompt_id,category,prompt,coffee_type,flavor_profile,recommended_temp,grind_size,pressure_bar,esp_command
1,bold_espresso,Make me a bold espresso,espresso,"bold, full-bodied & bold",87.5,fine,9.0,D-0 R-74 V-180 G-1 R-0
2,bold_espresso,I need a strong espresso shot,espresso,"bold, full-bodied & bold",87.5,fine,9.0,D-0 R-74 V-180 G-1 R-0
3,bold_espresso,"Brew a dark, rich espresso",espresso,"chocolatey & chocolatey, bold",87.5,fine,9.0,D-0 R-74 V-180 G-1 R-0
4,bold_espresso,I want something bold and intense,espresso,"bold, full-bodied & bold",87.5,fine,9.0,D-0 R-74 V-180 G-1 R-0
5,bold_espresso,Give me the strongest espresso you've got,espresso,"bold, full-bodied & bold",87.5,fine,9.0,D-0 R-74 V-180 G-1 R-0
6,fruity_light,I'd like something fruity and light,pour_over,"fruity, bright, full-bodied & fruity, bright",97.0,,1.0,D-6 R-8 V-180 G-5 R-0
7,fruity_light,Make me a bright coffee with citrus notes,pour_over,"fruity, bright, full-bodied & fruity, bright",97.0,,1.0,D-6 R-8 V-180 G-5 R-0
8,fruity_light,I want a floral and fruity cup,pour_over,"fruity, floral, bright & fruity, floral, bright",97.0,,1.0,D-6 R-8 V-180 G-5 R-0
9,fruity_light,Brew something with berry flavors and light body,pour_over,"fruity, bright, full-bodied & fruity, bright",97.0,,1.0,D-6 R-8 V-180 G-5 R-0
10,fruity_light,Give me a light roast with fruitiness,pour_over,"fruity, floral, bright & fruity, floral, bright",97.0,,1.0,D-6 R-8 V-180 G-5 R-0
11,chocolate_nutty,Brew a chocolatey and nutty coffee,french_press,"nutty, chocolatey, bright & nutty, chocolatey",91.0,,1.0,D-3 R-8 V-180 G-5 R-0
12,chocolate_nutty,I want a smooth cup with chocolate notes,french_press,"chocolatey, smooth, bright & chocolatey, smooth",91.0,,1.0,D-3 R-8 V-180 G-5 R-0
13,chocolate_nutty,Give me coffee with hazelnut and cocoa flavors,french_press,"nutty, chocolatey, bright & nutty, chocolatey",91.0,,1.0,D-3 R-8 V-180 G-5 R-0
