prompt_id,category,prompt,serving_size,coffee_type,flavor_profile,recommended_temp,grind_size,pressure_bar,esp_command
1,bold_espresso,Make me a bold espresso,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
2,bold_espresso,I need a strong espresso shot,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
3,bold_espresso,"Brew a dark, rich espresso",10.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
4,bold_espresso,I want something bold and intense,3.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-60 G-3 R-0
5,bold_espresso,Give me the strongest espresso you've got,7.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
6,fruity_light,I'd like something fruity and light,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
7,fruity_light,Make me a bright coffee with citrus notes,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
8,fruity_light,I want a floral and fruity cup,3.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-60 G-5 R-0
9,fruity_light,Brew something with berry flavors and light body,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
10,fruity_light,Give me a light roast with fruitiness,10.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-260 G-5 R-0
11,chocolate_nutty,Brew a chocolatey and nutty coffee,10.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-260 G-5 R-0
12,chocolate_nutty,I want a smooth cup with chocolate notes,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
13,chocolate_nutty,Give me coffee with hazelnut and cocoa flavors,10.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-260 G-5 R-0
14,chocolate_nutty,Make a nutty medium roast,10.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
15,chocolate_nutty,"Prepare a rich, chocolate-inspired brew",3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
16,smooth_creamy,I need a creamy and smooth coffee,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
17,smooth_creamy,Make me a mellow brew with a soft finish,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
18,smooth_creamy,Give me something smooth and not too acidic,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
19,smooth_creamy,Brew a balanced and gentle coffee,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
20,smooth_creamy,I want a velvety coffee with low bitterness,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
21,iced_sweet,Make an iced sweet latte,10.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
22,iced_sweet,Give me a cold brew with vanilla and caramel notes,3.0,cold-brew,high-quality & medium-bodied & chocolatey & floral,21,extra-coarse,N/A,D-0 R-74 V-60 G-5 R-0
23,iced_sweet,I want a sweet iced coffee,10.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
24,iced_sweet,Brew a refreshing and sugary iced latte,10.0,latte,exceptionally smooth and mild,94,medium-fine,8.5,D-4 R-70 V-260 G-3 R-0
25,iced_sweet,Prepare a chilled sweet coffee drink,3.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
26,bold_espresso,Give me the strongest espresso you've got that helps me relax,7.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
27,chocolate_nutty,Brew a chocolatey and nutty coffee please,7.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-180 G-5 R-0
28,smooth_creamy,Make me a mellow brew with a soft finish,10.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
29,chocolate_nutty,I want a smooth cup with chocolate notes now,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
30,bold_espresso,Give me the strongest espresso you've got,7.0,espresso,high-quality & medium-bodied & chocolatey & floral,94,medium-fine,8.5,D-4 R-70 V-180 G-3 R-0
31,chocolate_nutty,Give me coffee with hazelnut and cocoa flavors for a hot day,3.0,french-press,high-quality & medium-bodied & chocolatey & floral,96,extra-coarse,N/A,D-5 R-74 V-60 G-5 R-0
32,smooth_creamy,I want a velvety coffee with low bitterness with a kick,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
33,fruity_light,Brew something with berry flavors and light body this morning,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
34,smooth_creamy,Brew a balanced and gentle coffee please,3.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-60 G-7 R-0
35,iced_sweet,I want a sweet iced coffee now,7.0,drip,high-quality & medium-bodied & chocolatey & floral,94,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
36,smooth_creamy,I need a creamy and smooth coffee please,10.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-260 G-7 R-0
37,smooth_creamy,Brew a balanced and gentle coffee with a kick,7.0,drip,smooth & nutty & low acidity,93,medium-coarse,N/A,D-4 R-74 V-180 G-7 R-0
38,fruity_light,Make me a bright coffee with citrus notes that helps me relax,7.0,pour-over,floral & full-bodied & bright & high-quality,95,medium,N/A,D-5 R-74 V-180 G-5 R-0
